fpr,tpr
0.0,0.0
0.0,0.0001774622892635315
0.0,0.000354924578527063
0.0,0.000709849157054126
0.0,0.0012422360248447205
0.0,0.0015971606033717836
0.0,0.0019520851818988466
0.0,0.0023070097604259094
0.0,0.0026619343389529724
0.0,0.0030168589174800354
0.0,0.003194321206743567
0.0,0.00354924578527063
0.0,0.006211180124223602
5.1964248596965285e-05,0.006388642413487134
5.1964248596965285e-05,0.010292812777284827
5.1964248596965285e-05,0.01064773735581189
5.1964248596965285e-05,0.012777284826974268
0.00010392849719393057,0.012777284826974268
0.00010392849719393057,0.0129547471162378
0.00010392849719393057,0.013309671694764862
0.00010392849719393057,0.014551907719609583
0.00015589274579089587,0.014551907719609583
0.00015589274579089587,0.014729370008873114
0.00015589274579089587,0.015084294587400177
0.00015589274579089587,0.015439219165927241
0.00015589274579089587,0.015794143744454304
0.00015589274579089587,0.01650399290150843
0.00015589274579089587,0.017036379769299025
0.00020785699438786114,0.017036379769299025
0.00020785699438786114,0.018278615794143745
0.00020785699438786114,0.018633540372670808
0.00020785699438786114,0.020585625554569654
0.00025982124298482646,0.020585625554569654
0.00025982124298482646,0.020940550133096716
0.00031178549158179174,0.020940550133096716
0.00031178549158179174,0.02111801242236025
0.000363749740178757,0.02111801242236025
0.000363749740178757,0.02165039929015084
0.000363749740178757,0.022005323868677908
0.000363749740178757,0.023957409050576754
0.000363749740178757,0.024312333629103816
0.000363749740178757,0.02466725820763088
0.000363749740178757,0.025377107364685004
0.000363749740178757,0.025554569653948537
0.0004157139887757223,0.025554569653948537
0.0004157139887757223,0.0259094942324756
0.0004157139887757223,0.026796805678793258
0.0004157139887757223,0.02715173025732032
0.0004157139887757223,0.029281277728482696
0.0004676782373726876,0.02945874001774623
0.0005196424859696529,0.02945874001774623
0.0005196424859696529,0.03158828748890861
0.0005716067345666181,0.03158828748890861
0.0005716067345666181,0.0321206743566992
0.0005716067345666181,0.032475598935226266
0.0005716067345666181,0.032830523513753325
0.0006235709831635835,0.03300798580301686
0.0006235709831635835,0.038154392191659274
0.0006235709831635835,0.03850931677018633
0.0006235709831635835,0.03992901508429459
0.0006755352317605487,0.03992901508429459
0.0006755352317605487,0.0422360248447205
0.000727499480357514,0.0422360248447205
0.000727499480357514,0.04276841171251109
0.0007794637289544793,0.04276841171251109
0.0007794637289544793,0.043478260869565216
0.0007794637289544793,0.04383318544809228
0.0007794637289544793,0.04755989352262644
0.0008314279775514446,0.04755989352262644
0.0008314279775514446,0.05377107364685004
0.0008833922261484099,0.05377107364685004
0.0008833922261484099,0.05448092280390417
0.0009353564747453752,0.05448092280390417
0.0009353564747453752,0.0551907719609583
0.0009873207233423405,0.0551907719609583
0.0009873207233423405,0.05554569653948536
0.0010392849719393059,0.05554569653948536
0.0010392849719393059,0.05607808340727596
0.001091249220536271,0.05607808340727596
0.001091249220536271,0.05661047027506655
0.0011432134691332363,0.05678793256433008
0.0011432134691332363,0.057320319432120674
0.0011432134691332363,0.05767524401064774
0.0011432134691332363,0.05856255545696539
0.0011432134691332363,0.05909494232475599
0.0011432134691332363,0.06033717834960071
0.0011432134691332363,0.060692102928127774
0.0011432134691332363,0.06246672582076309
0.0011951777177302016,0.06246672582076309
0.0011951777177302016,0.06264418811002662
0.0011951777177302016,0.06299911268855368
0.0011951777177302016,0.06637089618456078
0.001247141966327167,0.06637089618456078
0.001247141966327167,0.06885536823425022
0.001247141966327167,0.06921029281277728
0.001247141966327167,0.06956521739130435
0.001247141966327167,0.06992014196983141
0.001247141966327167,0.07009760425909495
0.001247141966327167,0.07080745341614907
0.001247141966327167,0.07169476486246673
0.0012991062149241323,0.07169476486246673
0.0012991062149241323,0.07240461401952085
0.0013510704635210974,0.07240461401952085
0.0013510704635210974,0.07453416149068323
0.0013510704635210974,0.07506654835847383
0.0013510704635210974,0.07524401064773735
0.0014030347121180627,0.07524401064773735
0.0014030347121180627,0.07595385980479148
0.001454998960715028,0.07595385980479148
0.001454998960715028,0.07613132209405502
0.0015069632093119934,0.07613132209405502
0.0015069632093119934,0.07648624667258208
0.0015589274579089587,0.07648624667258208
0.0015589274579089587,0.07790594498669033
0.001610891706505924,0.07790594498669033
0.001610891706505924,0.08039041703637977
0.0016628559551028891,0.08039041703637977
0.0016628559551028891,0.08287488908606921
0.0017148202036998544,0.08287488908606921
0.0017148202036998544,0.08713398402839397
0.0017148202036998544,0.08748890860692103
0.0017148202036998544,0.0878438331854481
0.0017667844522968198,0.0878438331854481
0.0017667844522968198,0.08819875776397515
0.0017667844522968198,0.08890860692102928
0.001818748700893785,0.08890860692102928
0.001818748700893785,0.08926353149955635
0.0018707129494907504,0.08926353149955635
0.0018707129494907504,0.08979591836734693
0.0019226771980877157,0.08979591836734693
0.0019226771980877157,0.09139307897071872
0.001974641446684681,0.09139307897071872
0.001974641446684681,0.09174800354924578
0.001974641446684681,0.09228039041703638
0.001974641446684681,0.09281277728482698
0.0020266056952816464,0.09281277728482698
0.0020266056952816464,0.09423247559893523
0.0020785699438786117,0.09423247559893523
0.0020785699438786117,0.09707187222715173
0.002182498441072542,0.09707187222715173
0.002182498441072542,0.09831410825199645
0.0022344626896695073,0.09831410825199645
0.0022344626896695073,0.09866903283052351
0.0022344626896695073,0.09937888198757763
0.0022864269382664726,0.09937888198757763
0.0022864269382664726,0.09955634427684117
0.002338391186863438,0.09955634427684117
0.002338391186863438,0.10008873114463177
0.0023903554354604032,0.10008873114463177
0.0023903554354604032,0.10133096716947648
0.0023903554354604032,0.10168589174800355
0.0023903554354604032,0.10204081632653061
